Country,GiniIndex
Sweden,23
Hungary,24.7
Norway,25
Austria,26
Czech Rep.,26
Luxembourg,26
Malta,26
Slovakia,26
Kazakhstan,26.7
Finland,26.8
Germany,27
Belarus,27.2
Ukraine,27.5
Belgium,28
Iceland,28
Serbia,28.2
Slovenia,28.4
Cyprus,29
Denmark,29
Ireland,29.3
Ethiopia,30
Kosovo,30
Montenegro,30
Australia,30.5
Pakistan,30.6
Armenia,30.9
Netherlands,30.9
Romania,31.2
Estonia,31.4
Korea South,31.4
East Timor,32.9
Italy,32
Spain,32
Canada,32.1
Taiwan,32.6
Tajikistan,32.6
France,32.7
Greece,33
Bangladesh,33.2
Kyrgyzstan,33.4
Azerbaijan,33.7
Croatia,33.7
Switzerland,33.7
Niger,34
UK,34
Poland,34.2
Egypt,34.4
Albania,34.5
Algeria,35.3
Latvia,35.7
Bosnia&Herz,36.2
New Zealand,36.2
Benin,36.5
Mongolia,36.5
Laos,36.7
India,36.8
Uzbekistan,36.8
Japan,37.6
Lithuania,37.6
Tanzania,37.6
Vietnam,37.6
Yemen,37.7
Moldova,38
Portugal,38.5
Malawi,39
Mauritania,39
Mauritius,39
Isreal,39.2
Ghana,39.4
Guinea,39.4
Burkina Faso,39.5
Jordan,39.7
Turkey,39.7
Tunisia,40
Mali,40.1
Sri Lanka,40.3
Georgia,40.8
Turkmenistan,40.8
Morocco,40.9
Venezuela,41
Senegal,41.3
China,41.5
Cote d'lvoire,41.5
Russia,42.2
Burundi,42.4
Uruguay,42.4
Kenya,42.5
Nicaragua,43.1
Guyana,43.2
Nigeria,43.7
Macedonia,44.2
Uganda,44.3
Cambodia,44.4
Iran,44.5
Cameroon,44.6
United States,45
Bulgaria,45.3
Jamaica,45.5
Mozambique,45.6
Argentina,45.8
Philippines,45.8
Malaysia,46.2
Rwanda,46.8
Ecuador,46.9
El Salvador,46.9
Eepal,47.2
Madagascar,47.5
Singapore,47.8
Peru,48
Dom. Republic,48.4
Zimbabwe,50.1
GambiaThe,50.2
Costa Rica,50.3
Swaziland,50.4
Zambia,50.8
Papua N. Guinea,50.9
Panama,51
Mexico,51.7
Chile,52.1
Paraguay,53.2
Hong Kong,53.3
Thailand,53.6
Brazil,53.9
Guatemala,55.1
Honduras,57.7
Bolivia,58.2
Colombia,58.5
Hati,59.2
Central Afr. Rep.,61.3
Sierra Leone,62.9
Botswana,63
Lesotho,63.2
South Africa,65
Namibia,70.7
